event_token,event_span,doc_id,source_MATRES,source_TBD,source_OneIE,type,has_relations_TBD,events_AFTER_TBD,has_relations_MATRES,events_AFTER_MATRES
killed,[1987:1993),20413485,1,1,1,Life:Die,1,"['[1555:1564)', '[1723:1731)', '[1744:1755)', '[1811:1820)', '[1851:1857)', '[1884:1890)', '[2048:2055)', '[2061:2068)', '[2076:2083)', '[2106:2111)', '[2117:2123)', '[2161:2166)', '[2204:2210)', '[2226:2233)', '[2242:2249)', '[2250:2258)', '[2290:2300)', '[2348:2356)', '[2396:2403)', '[2468:2473)']",1,"['[1242:1247)', '[1271:1280)', '[1336:1345)', '[1456:1460)', '[1555:1564)', '[1723:1731)', '[1744:1755)', '[1811:1820)', '[2204:2210)', '[2226:2233)', '[2348:2356)', '[2419:2427)']"
injured,[2009:2016),20413485,1,1,1,Life:Injure,1,"['[1555:1564)', '[1723:1731)', '[1744:1755)', '[1811:1820)', '[1851:1857)', '[1884:1890)', '[2048:2055)', '[2061:2068)', '[2076:2083)', '[2106:2111)', '[2117:2123)', '[2161:2166)', '[2204:2210)', '[2226:2233)', '[2242:2249)', '[2250:2258)', '[2290:2300)', '[2348:2356)', '[2468:2473)']",1,"['[1336:1345)', '[1456:1460)', '[1555:1564)', '[1723:1731)', '[1744:1755)', '[1811:1820)', '[2204:2210)', '[2226:2233)', '[2419:2427)']"
carried,[2061:2068),20413485,1,1,0,--,1,"['[1811:1820)', '[2204:2210)', '[2290:2300)', '[2468:2473)']",1,"['[1336:1345)', '[1456:1460)', '[1555:1564)', '[1723:1731)', '[1744:1755)', '[1811:1820)', '[2009:2016)', '[2204:2210)', '[2226:2233)', '[2419:2427)']"
killed,[2117:2123),20413485,1,1,1,Life:Die,1,"['[1555:1564)', '[1723:1731)', '[1744:1755)', '[1811:1820)', '[1851:1857)', '[2161:2166)', '[2204:2210)', '[2226:2233)', '[2242:2249)', '[2250:2258)', '[2290:2300)', '[2348:2356)', '[2396:2403)', '[2468:2473)']",1,"['[1336:1345)', '[1456:1460)', '[1555:1564)', '[1723:1731)', '[1744:1755)', '[1811:1820)', '[2009:2016)', '[2204:2210)', '[2226:2233)', '[2348:2356)', '[2419:2427)']"
killed,[2204:2210),20413485,1,1,0,--,1,"['[2242:2249)', '[2250:2258)', '[2290:2300)', '[2396:2403)', '[2468:2473)']",1,"['[1744:1755)', '[1811:1820)', '[2348:2356)', '[2419:2427)']"
injured,[2226:2233),20413485,1,1,0,--,1,"['[2242:2249)', '[2250:2258)', '[2290:2300)', '[2348:2356)', '[2396:2403)', '[2468:2473)']",1,"['[1744:1755)', '[1811:1820)', '[2419:2427)']"
occurred,[2250:2258),20413485,1,1,0,--,1,"['[2348:2356)', '[2396:2403)', '[2468:2473)']",1,"['[1456:1460)', '[1555:1564)', '[1723:1731)', '[1744:1755)', '[1811:1820)', '[2204:2210)', '[2226:2233)', '[2348:2356)', '[2419:2427)']"
exploded,[2348:2356),20413485,1,1,0,--,0,[],1,"['[1555:1564)', '[1744:1755)', '[1811:1820)', '[2226:2233)', '[2683:2690)']"
injuring,[2419:2427),20413485,1,0,0,--,0,[],0,[]
exploded,[2626:2634),20413485,1,1,0,--,1,"['[2468:2473)', '[2737:2742)', '[2770:2776)', '[2956:2962)', '[3142:3151)']",1,"['[2770:2776)', '[2790:2797)', '[2956:2962)', '[2971:2978)', '[3071:3078)']"
killing,[2683:2690),20413485,1,0,0,--,0,[],1,"['[2770:2776)', '[2790:2797)', '[2956:2962)', '[2971:2978)', '[3071:3078)']"
killed,[2770:2776),20413485,1,1,0,--,1,"['[2831:2839)', '[2956:2962)', '[3071:3078)', '[3142:3151)']",1,"['[2956:2962)', '[3071:3078)', '[3142:3151)']"
injured,[2790:2797),20413485,1,0,0,--,0,[],1,"['[2956:2962)', '[2971:2978)', '[3071:3078)', '[3142:3151)']"
exploded,[2831:2839),20413485,1,1,0,--,1,"['[2956:2962)', '[3071:3078)', '[3142:3151)']",1,"['[2790:2797)', '[2956:2962)', '[2971:2978)', '[3071:3078)', '[3142:3151)', '[3583:3592)']"
killed,[2956:2962),20413485,1,1,0,--,1,"['[3071:3078)', '[3142:3151)']",1,"['[3071:3078)', '[3142:3151)', '[3297:3303)', '[3452:3460)', '[3583:3592)']"
injured,[2971:2978),20413485,1,0,0,--,0,[],0,[]
exploded,[3009:3017),20413485,1,1,0,--,1,"['[2956:2962)', '[3142:3151)', '[3178:3186)', '[3192:3199)', '[3297:3303)', '[3342:3350)', '[3452:3460)', '[3583:3592)']",1,"['[2790:2797)', '[2956:2962)', '[2971:2978)', '[3142:3151)', '[3297:3303)', '[3452:3460)', '[3583:3592)']"
killing,[3071:3078),20413485,1,1,0,--,1,['[3142:3151)'],1,"['[2971:2978)', '[3142:3151)', '[3297:3303)', '[3452:3460)', '[3583:3592)']"
According,[3142:3151),20413485,1,1,0,--,0,[],0,[]
carried,[3192:3199),20413485,1,1,0,--,1,"['[3297:3303)', '[3342:3350)', '[3452:3460)', '[3583:3592)']",1,"['[2790:2797)', '[2956:2962)', '[2971:2978)', '[3071:3078)', '[3297:3303)', '[3333:3341)', '[3452:3460)', '[3536:3540)', '[3583:3592)']"
stated,[3297:3303),20413485,1,1,0,--,0,[],1,"['[3142:3151)', '[3452:3460)', '[3583:3592)']"
received,[3333:3341),20413485,1,1,0,--,1,"['[3142:3151)', '[3439:3447)', '[3452:3460)', '[3583:3592)']",1,"['[2971:2978)', '[3071:3078)', '[3142:3151)', '[3452:3460)', '[3536:3540)', '[3583:3592)', '[3699:3707)', '[3966:3976)']"
reported,[3452:3460),20413485,1,1,0,--,1,['[3583:3592)'],1,"['[3142:3151)', '[3583:3592)', '[3966:3976)']"
taken,[3469:3474),20413485,1,1,0,--,1,"['[3142:3151)', '[3297:3303)', '[3583:3592)', '[3680:3687)', '[3834:3843)']",1,"['[3297:3303)', '[3333:3341)', '[3536:3540)', '[3583:3592)', '[3699:3707)', '[3966:3976)']"
went,[3536:3540),20413485,1,1,0,--,1,"['[3452:3460)', '[3834:3843)']",1,"['[3142:3151)', '[3297:3303)', '[3452:3460)', '[3699:3707)', '[3966:3976)', '[4116:4121)']"
according,[3583:3592),20413485,1,1,0,--,0,[],0,[]
handpicked,[3654:3664),20413485,1,1,0,--,1,"['[3834:3843)', '[3862:3868)', '[3966:3976)']",1,['[3966:3976)']
received,[3699:3707),20413485,1,1,0,--,1,"['[3583:3592)', '[3654:3664)', '[3680:3687)', '[3834:3843)', '[3862:3868)', '[3966:3976)']",1,"['[3452:3460)', '[3583:3592)', '[3966:3976)', '[4058:4066)', '[4116:4121)']"
determined,[3966:3976),20413485,1,1,0,--,0,[],1,"['[3583:3592)', '[4116:4121)', '[4474:4479)']"
assisted,[4058:4066),20413485,1,0,0,--,0,[],1,"['[3583:3592)', '[4116:4121)', '[4274:4282)', '[4474:4479)']"
given,[4116:4121),20413485,1,1,0,--,1,"['[3966:3976)', '[4274:4282)', '[4503:4507)']",1,"['[4376:4380)', '[4432:4436)', '[4474:4479)', '[4553:4559)']"
detailed,[4274:4282),20413485,1,1,0,--,1,"['[4432:4436)', '[4503:4507)', '[4540:4545)']",1,"['[3583:3592)', '[3966:3976)', '[4116:4121)', '[4432:4436)', '[4474:4479)', '[4540:4545)', '[4553:4559)']"
came,[4376:4380),20413485,1,1,1,Movement:Transport,1,"['[4432:4436)', '[4474:4479)', '[4503:4507)', '[4540:4545)', '[4553:4559)', '[4607:4613)', '[4635:4643)', '[4814:4820)', '[4845:4855)']",1,"['[4432:4436)', '[4474:4479)', '[4540:4545)', '[4553:4559)', '[4745:4753)', '[4845:4855)']"
told,[4432:4436),20413485,1,1,0,--,1,"['[4607:4613)', '[4635:4643)', '[4814:4820)', '[4845:4855)']",1,"['[4745:4753)', '[4845:4855)']"
asked,[4474:4479),20413485,1,1,0,--,1,"['[4607:4613)', '[4635:4643)', '[4745:4753)', '[4814:4820)', '[4845:4855)', '[5226:5231)']",1,"['[4745:4753)', '[4814:4820)', '[4845:4855)', '[5053:5059)', '[5115:5122)']"
split,[4540:4545),20413485,1,1,0,--,1,"['[4607:4613)', '[4635:4643)', '[4745:4753)', '[4814:4820)', '[4845:4855)', '[5226:5231)']",1,['[4745:4753)']
headed,[4553:4559),20413485,1,1,0,--,1,"['[4607:4613)', '[4635:4643)', '[4814:4820)', '[4845:4855)']",1,"['[4814:4820)', '[4845:4855)', '[5115:5122)']"
attacked,[4745:4753),20413485,1,1,1,Conflict:Attack,1,"['[4503:4507)', '[4607:4613)', '[4635:4643)', '[4814:4820)', '[4845:4855)', '[4877:4884)', '[4885:4890)', '[4921:4928)', '[4952:4958)', '[4959:4963)', '[4998:5004)', '[5019:5026)', '[5115:5122)', '[5226:5231)', '[5248:5253)']",1,"['[4553:4559)', '[4814:4820)', '[4845:4855)', '[4885:4890)', '[4921:4928)', '[4952:4958)', '[5019:5026)', '[5053:5059)', '[5115:5122)', '[5204:5211)', '[5248:5253)', '[5286:5290)']"
caught,[4814:4820),20413485,1,1,0,--,1,"['[5115:5122)', '[5226:5231)']",1,"['[5053:5059)', '[5115:5122)', '[5204:5211)', '[5248:5253)', '[5286:5290)']"
identified,[4845:4855),20413485,1,1,0,--,1,['[5226:5231)'],1,"['[5053:5059)', '[5115:5122)', '[5204:5211)', '[5248:5253)']"
began,[4885:4890),20413485,1,1,0,--,1,"['[4814:4820)', '[4845:4855)', '[4998:5004)', '[5115:5122)', '[5226:5231)', '[5248:5253)']",1,"['[4814:4820)', '[4845:4855)', '[5019:5026)', '[5053:5059)', '[5115:5122)', '[5204:5211)', '[5248:5253)', '[5286:5290)', '[5305:5310)', '[5362:5369)', '[5407:5413)', '[5578:5585)']"
entered,[4921:4928),20413485,1,1,1,Movement:Transport,1,"['[4814:4820)', '[4845:4855)', '[4998:5004)', '[5019:5026)', '[5045:5052)', '[5053:5059)', '[5115:5122)', '[5226:5231)', '[5248:5253)', '[5286:5290)', '[5589:5595)', '[5697:5701)']",1,"['[4814:4820)', '[4845:4855)', '[4998:5004)', '[5019:5026)', '[5053:5059)', '[5115:5122)', '[5204:5211)', '[5248:5253)', '[5286:5290)', '[5305:5310)', '[5362:5369)', '[5407:5413)', '[5578:5585)']"
opened,[4952:4958),20413485,1,1,1,Conflict:Attack,1,"['[4845:4855)', '[4998:5004)', '[5019:5026)', '[5045:5052)', '[5115:5122)', '[5226:5231)', '[5248:5253)', '[5286:5290)', '[5589:5595)']",1,"['[4845:4855)', '[5019:5026)', '[5053:5059)', '[5115:5122)', '[5204:5211)', '[5248:5253)', '[5286:5290)', '[5578:5585)']"
killed,[4998:5004),20413485,1,1,1,Life:Die,1,"['[4845:4855)', '[5115:5122)', '[5204:5211)', '[5226:5231)', '[5248:5253)', '[5286:5290)', '[5305:5310)', '[5362:5369)', '[5589:5595)', '[5615:5621)', '[5697:5701)']",1,"['[4745:4753)', '[4814:4820)', '[4845:4855)', '[4885:4890)', '[4952:4958)', '[5115:5122)', '[5204:5211)', '[5248:5253)', '[5286:5290)', '[5305:5310)', '[5362:5369)', '[5407:5413)', '[5578:5585)']"
injured,[5019:5026),20413485,1,1,1,Life:Injure,1,"['[5115:5122)', '[5226:5231)', '[5248:5253)', '[5286:5290)', '[5589:5595)']",1,"['[5115:5122)', '[5204:5211)', '[5248:5253)', '[5286:5290)', '[5578:5585)']"
ending,[5053:5059),20413485,1,1,0,--,1,"['[5115:5122)', '[5226:5231)']",1,['[5115:5122)']
arrived,[5115:5122),20413485,1,1,1,Movement:Transport,1,['[5226:5231)'],0,[]
alerted,[5204:5211),20413485,1,1,0,--,1,"['[5286:5290)', '[5305:5310)', '[5362:5369)', '[5589:5595)', '[5615:5621)', '[5697:5701)']",1,"['[5115:5122)', '[5286:5290)', '[5362:5369)', '[5578:5585)', '[5653:5659)']"
saved,[5248:5253),20413485,1,1,0,--,1,"['[5589:5595)', '[5697:5701)']",0,[]
fled,[5286:5290),20413485,1,1,1,Movement:Transport,1,"['[5226:5231)', '[5589:5595)', '[5615:5621)', '[5697:5701)']",1,"['[5115:5122)', '[5248:5253)', '[5407:5413)', '[5578:5585)', '[5653:5659)', '[5896:5900)']"
fired,[5305:5310),20413485,1,1,1,Conflict:Attack,1,"['[5226:5231)', '[5248:5253)', '[5407:5413)', '[5550:5561)', '[5589:5595)', '[5615:5621)', '[5697:5701)', '[5735:5741)']",1,"['[5115:5122)', '[5204:5211)', '[5248:5253)', '[5407:5413)', '[5578:5585)', '[5653:5659)', '[5896:5900)']"
killing,[5362:5369),20413485,1,1,1,Life:Die,1,"['[5589:5595)', '[5615:5621)', '[5697:5701)']",1,"['[5115:5122)', '[5248:5253)', '[5578:5585)', '[5653:5659)', '[5896:5900)']"
passed,[5407:5413),20413485,1,1,1,Movement:Transport,1,"['[5226:5231)', '[5248:5253)', '[5362:5369)', '[5550:5561)', '[5589:5595)', '[5615:5621)', '[5697:5701)', '[5735:5741)']",1,"['[5053:5059)', '[5115:5122)', '[5204:5211)', '[5248:5253)', '[5362:5369)', '[5578:5585)', '[5653:5659)', '[5735:5741)', '[5896:5900)']"
decided,[5578:5585),20413485,1,1,0,--,1,"['[5653:5659)', '[5697:5701)', '[5735:5741)', '[5845:5853)']",1,"['[5653:5659)', '[5735:5741)', '[5845:5853)', '[5896:5900)', '[5946:5952)', '[6111:6117)']"
headed,[5653:5659),20413485,1,1,1,Movement:Transport,0,[],1,"['[5115:5122)', '[5845:5853)', '[5896:5900)', '[5946:5952)', '[6009:6017)', '[6111:6117)', '[6174:6181)', '[6198:6204)', '[6234:6243)', '[6293:6296)']"
locked,[5735:5741),20413485,1,1,0,--,1,"['[5845:5853)', '[5896:5900)']",1,"['[5845:5853)', '[5896:5900)', '[5946:5952)', '[6009:6017)', '[6111:6117)', '[6198:6204)']"
searched,[5845:5853),20413485,1,1,0,--,0,[],1,"['[5946:5952)', '[6009:6017)', '[6111:6117)', '[6174:6181)', '[6198:6204)', '[6234:6243)', '[6293:6296)']"
left,[5896:5900),20413485,1,1,1,Movement:Transport,1,"['[5946:5952)', '[5953:5957)', '[6111:6117)']",1,"['[6009:6017)', '[6111:6117)', '[6174:6181)', '[6198:6204)', '[6234:6243)', '[6251:6257)', '[6293:6296)']"
opened,[5946:5952),20413485,1,1,1,Conflict:Attack,1,"['[6111:6117)', '[6174:6181)', '[6234:6243)']",1,"['[5896:5900)', '[6111:6117)', '[6174:6181)', '[6198:6204)', '[6234:6243)', '[6251:6257)', '[6293:6296)']"
received,[6009:6017),20413485,1,1,0,--,1,"['[6111:6117)', '[6174:6181)', '[6234:6243)']",1,"['[6111:6117)', '[6174:6181)', '[6198:6204)', '[6234:6243)', '[6293:6296)']"
killed,[6111:6117),20413485,1,1,1,Life:Die,1,"['[6174:6181)', '[6198:6204)', '[6234:6243)', '[6251:6257)', '[6381:6387)', '[6418:6424)', '[6485:6493)', '[6576:6581)']",1,"['[6174:6181)', '[6198:6204)', '[6234:6243)', '[6251:6257)', '[6293:6296)', '[6393:6399)', '[6439:6446)', '[6485:6493)', '[6536:6542)']"
wounded,[6174:6181),20413485,1,1,1,Life:Injure,1,"['[6198:6204)', '[6234:6243)', '[6251:6257)', '[6293:6296)', '[6381:6387)', '[6418:6424)']",1,"['[6198:6204)', '[6234:6243)', '[6251:6257)', '[6293:6296)', '[6393:6399)', '[6439:6446)', '[6536:6542)']"
seized,[6198:6204),20413485,1,1,1,Transaction:Transfer-Ownership,1,"['[6293:6296)', '[6381:6387)', '[6418:6424)', '[6465:6473)', '[6485:6493)', '[6576:6581)']",1,"['[6293:6296)', '[6357:6364)', '[6393:6399)', '[6418:6424)', '[6439:6446)', '[6485:6493)', '[6536:6542)', '[6551:6554)']"
abandoned,[6234:6243),20413485,1,1,0,--,0,[],1,"['[6293:6296)', '[6393:6399)', '[6439:6446)', '[6485:6493)', '[6536:6542)']"
seized,[6251:6257),20413485,1,1,1,Transaction:Transfer-Ownership,1,"['[6293:6296)', '[6357:6364)', '[6381:6387)', '[6393:6399)', '[6418:6424)', '[6439:6446)', '[6465:6473)', '[6485:6493)', '[6536:6542)', '[6576:6581)']",1,"['[6293:6296)', '[6393:6399)', '[6439:6446)', '[6485:6493)', '[6536:6542)', '[6551:6554)']"
ran,[6293:6296),20413485,1,1,1,Movement:Transport,1,"['[6381:6387)', '[6418:6424)', '[6439:6446)', '[6465:6473)', '[6485:6493)', '[6536:6542)', '[6576:6581)']",1,"['[6393:6399)', '[6439:6446)', '[6485:6493)', '[6536:6542)', '[6551:6554)']"
set,[6337:6340),20413485,1,1,0,--,1,"['[6174:6181)', '[6234:6243)', '[6381:6387)', '[6393:6399)', '[6418:6424)', '[6439:6446)', '[6465:6473)', '[6485:6493)', '[6536:6542)', '[6551:6554)', '[6576:6581)']",1,"['[5896:5900)', '[6009:6017)', '[6111:6117)', '[6174:6181)', '[6198:6204)', '[6234:6243)', '[6251:6257)', '[6393:6399)', '[6418:6424)', '[6439:6446)', '[6485:6493)', '[6536:6542)', '[6551:6554)']"
radioed,[6357:6364),20413485,1,1,0,--,1,"['[6381:6387)', '[6393:6399)', '[6418:6424)', '[6439:6446)', '[6465:6473)', '[6485:6493)', '[6536:6542)', '[6576:6581)']",1,"['[6418:6424)', '[6439:6446)', '[6536:6542)']"
ensued,[6393:6399),20413485,1,1,0,--,1,"['[6465:6473)', '[6485:6493)', '[6536:6542)', '[6576:6581)']",1,"['[6485:6493)', '[6536:6542)', '[6551:6554)', '[6704:6712)']"
killed,[6418:6424),20413485,1,1,1,Life:Die,1,"['[6465:6473)', '[6485:6493)', '[6536:6542)', '[6576:6581)']",1,"['[5896:5900)', '[6111:6117)', '[6174:6181)', '[6234:6243)', '[6251:6257)', '[6293:6296)', '[6485:6493)', '[6536:6542)', '[6551:6554)', '[6704:6712)', '[6774:6780)', '[6854:6861)', '[6904:6912)']"
wounded,[6439:6446),20413485,1,1,1,Life:Injure,1,"['[6465:6473)', '[6485:6493)', '[6536:6542)', '[6551:6554)', '[6576:6581)']",1,"['[6485:6493)', '[6536:6542)', '[6551:6554)']"
arrested,[6485:6493),20413485,1,1,1,Justice:Arrest-Jail,1,"['[6536:6542)', '[6576:6581)']",1,"['[6536:6542)', '[6704:6712)', '[6774:6780)']"
killed,[6536:6542),20413485,1,1,1,Life:Die,0,[],1,"['[6774:6780)', '[6854:6861)', '[6904:6912)']"
ran,[6551:6554),20413485,1,1,0,--,0,[],1,"['[6485:6493)', '[6704:6712)', '[6774:6780)', '[6854:6861)', '[6904:6912)']"
attacked,[6704:6712),20413485,1,1,1,Conflict:Attack,1,"['[6774:6780)', '[6781:6785)', '[6854:6861)', '[6904:6912)']",1,"['[6536:6542)', '[6774:6780)', '[6854:6861)', '[6904:6912)', '[6997:7005)', '[7030:7037)', '[7223:7230)']"
opened,[6774:6780),20413485,1,1,1,Conflict:Attack,0,[],1,"['[6997:7005)', '[7030:7037)', '[7190:7196)', '[7223:7230)']"
killing,[6854:6861),20413485,1,1,1,Life:Die,0,[],1,['[7223:7230)']
injuring,[6904:6912),20413485,1,1,1,Life:Injure,0,[],0,[]
caused,[6960:6966),20413485,1,1,0,--,1,"['[6997:7005)', '[7030:7037)', '[7077:7086)', '[7087:7091)', '[7190:7196)', '[7223:7230)']",1,"['[6854:6861)', '[6904:6912)', '[6997:7005)', '[7030:7037)', '[7087:7091)', '[7190:7196)', '[7223:7230)', '[7330:7338)', '[7360:7368)', '[7597:7605)', '[7707:7713)', '[7800:7807)']"
occurred,[6997:7005),20413485,1,1,0,--,1,"['[6854:6861)', '[6904:6912)', '[7077:7086)', '[7087:7091)', '[7190:7196)', '[7223:7230)', '[7330:7338)', '[7344:7354)', '[7360:7368)']",1,"['[6854:6861)', '[6904:6912)', '[7087:7091)', '[7190:7196)', '[7223:7230)', '[7330:7338)', '[7360:7368)', '[7597:7605)', '[7707:7713)', '[7800:7807)']"
killing,[7030:7037),20413485,1,1,1,Life:Die,1,"['[7077:7086)', '[7087:7091)', '[7190:7196)', '[7223:7230)', '[7330:7338)']",1,"['[6904:6912)', '[7190:7196)', '[7223:7230)', '[7330:7338)', '[7360:7368)', '[7597:7605)', '[7707:7713)', '[7800:7807)']"
took,[7087:7091),20413485,1,1,0,--,1,"['[7190:7196)', '[7223:7230)']",1,"['[6904:6912)', '[7030:7037)', '[7190:7196)', '[7223:7230)', '[7330:7338)', '[7360:7368)', '[7597:7605)', '[7707:7713)', '[7800:7807)']"
killed,[7190:7196),20413485,1,1,1,Life:Die,1,"['[7330:7338)', '[7344:7354)', '[7360:7368)', '[7510:7517)', '[7597:7605)']",1,"['[6854:6861)', '[6904:6912)', '[7330:7338)', '[7360:7368)', '[7510:7517)', '[7597:7605)', '[7707:7713)', '[7746:7753)', '[7800:7807)']"
injured,[7223:7230),20413485,1,1,1,Life:Injure,1,"['[7330:7338)', '[7344:7354)', '[7360:7368)']",1,"['[7330:7338)', '[7360:7368)', '[7510:7517)', '[7597:7605)', '[7707:7713)', '[7746:7753)', '[7800:7807)']"
targeted,[7330:7338),20413485,1,1,1,Conflict:Attack,1,"['[7344:7354)', '[7360:7368)', '[7510:7517)', '[7597:7605)', '[7694:7702)', '[7707:7713)', '[7800:7807)']",1,"['[7360:7368)', '[7510:7517)', '[7597:7605)', '[7707:7713)', '[7746:7753)', '[7800:7807)']"
reported,[7360:7368),20413485,1,1,0,--,0,[],1,"['[7510:7517)', '[7597:7605)', '[7707:7713)', '[7746:7753)', '[7800:7807)']"
rescued,[7510:7517),20413485,1,1,0,--,1,"['[7597:7605)', '[7694:7702)', '[7707:7713)', '[7746:7753)', '[7777:7782)', '[7800:7807)']",1,"['[7597:7605)', '[7694:7702)', '[7707:7713)', '[7746:7753)', '[7777:7782)', '[7800:7807)']"
reported,[7597:7605),20413485,1,1,0,--,0,[],0,[]
resolved,[7694:7702),20413485,1,1,0,--,0,[],0,[]
quoted,[7707:7713),20413485,1,1,0,--,0,[],0,[]
stating,[7746:7753),20413485,1,1,0,--,0,[],0,[]
freed,[7777:7782),20413485,1,1,1,Justice:Release-Parole,1,['[7997:8004)'],0,[]
learned,[7800:7807),20413485,1,1,0,--,0,[],0,[]
staying,[7997:8004),20413485,1,1,0,--,1,['[7800:7807)'],1,"['[7597:7605)', '[7707:7713)', '[7746:7753)', '[7800:7807)', '[8196:8202)', '[8262:8268)', '[8310:8318)', '[8443:8451)', '[8576:8584)', '[8748:8756)']"
attacked,[8034:8042),20413485,1,1,1,Conflict:Attack,1,"['[7597:7605)', '[7707:7713)', '[7746:7753)', '[7777:7782)', '[7800:7807)', '[8196:8202)', '[8203:8207)', '[8262:8268)', '[8368:8378)', '[8443:8451)', '[8576:8584)']",1,"['[7510:7517)', '[7597:7605)', '[7707:7713)', '[7746:7753)', '[7777:7782)', '[7800:7807)', '[8262:8268)', '[8310:8318)', '[8443:8451)', '[8576:8584)', '[8748:8756)']"
injured,[8066:8073),20413485,1,1,1,Life:Injure,1,['[8443:8451)'],1,"['[7597:7605)', '[7707:7713)', '[7746:7753)', '[7800:7807)', '[8310:8318)', '[8443:8451)', '[8576:8584)', '[8748:8756)']"
opened,[8196:8202),20413485,1,1,1,Conflict:Attack,1,"['[8368:8378)', '[8443:8451)', '[8490:8494)', '[8509:8513)', '[8556:8562)', '[8576:8584)', '[8616:8623)', '[8748:8756)']",1,"['[7597:7605)', '[7707:7713)', '[7746:7753)', '[7800:7807)', '[8034:8042)', '[8066:8073)', '[8310:8318)', '[8443:8451)', '[8509:8513)', '[8576:8584)', '[8616:8623)', '[8705:8709)', '[8748:8756)']"
hiding,[8262:8268),20413485,1,1,0,--,1,"['[8368:8378)', '[8443:8451)', '[8576:8584)']",1,"['[7707:7713)', '[7746:7753)', '[7800:7807)', '[8310:8318)', '[8443:8451)', '[8509:8513)', '[8576:8584)', '[8616:8623)', '[8705:8709)', '[8748:8756)']"
reported,[8310:8318),20413485,1,0,0,--,0,[],1,"['[8443:8451)', '[8576:8584)', '[8748:8756)']"
barricaded,[8368:8378),20413485,1,1,0,--,1,"['[8443:8451)', '[8509:8513)', '[8576:8584)']",1,"['[7800:7807)', '[8443:8451)', '[8576:8584)', '[8748:8756)']"
reported,[8443:8451),20413485,1,1,0,--,0,[],1,"['[8576:8584)', '[8748:8756)']"
left,[8490:8494),20413485,1,1,1,Movement:Transport,1,"['[8576:8584)', '[8616:8623)', '[8705:8709)', '[8748:8756)', '[8794:8798)', '[8805:8811)']",1,"['[8262:8268)', '[8310:8318)', '[8576:8584)', '[8616:8623)', '[8705:8709)', '[8748:8756)', '[8794:8798)', '[8805:8811)']"
went,[8509:8513),20413485,1,1,1,Movement:Transport,1,"['[8576:8584)', '[8616:8623)', '[8637:8645)', '[8705:8709)', '[8748:8756)', '[8794:8798)', '[8805:8811)', '[8822:8830)', '[8886:8894)']",1,"['[8310:8318)', '[8576:8584)', '[8616:8623)', '[8705:8709)', '[8748:8756)', '[8794:8798)', '[8805:8811)']"
reported,[8576:8584),20413485,1,1,0,--,0,[],1,['[8748:8756)']
thought,[8616:8623),20413485,1,1,0,--,1,"['[8443:8451)', '[8748:8756)']",1,"['[8310:8318)', '[8443:8451)', '[8748:8756)', '[8805:8811)']"
